,isbn,rating_count
1393,373294263,51
1394,039512364X,1095
1395,713132698,203
1396,8770559937,1040
1397,373125755,76
1398,037311849X,129
1399,689862326,181
1400,373125801,1451
1401,545027896,54053
1402,802142745,549
1403,674025571,49
1404,312349475,1489
1405,1582340536,32
1406,62091093,3655
1407,323069770,94
1408,743255364,332
1409,1408808811,46
1410,615390722,40
1411,973143231,34
1412,66214734,222
1413,62004379,2402
1414,756669359,96
1415,006187325X,2017
1416,1601252994,414
1417,486217760,62
1418,1421540207,2095
1419,141196106,7357
1420,9631423603,51
1421,199759898,362
1422,375408266,177707
1423,156720361,175
1424,1554877776,184
1425,486258106,270
1426,674008189,94
1427,205443249,790
1428,538470844,83
1429,1592236065,235
1430,718156773,442
1431,1598035665,319
1432,691019134,17
1433,762730331,13
1434,738733407,888
1435,870442201,25
1436,747581908,417
1437,1607142139,18
1438,1592132359,16
1439,1416571760,18208
1440,688142087,158
1441,811852342,104
1442,316176257,2329
1443,307346765,379
1444,161638185X,292
1445,517058022,103
1446,192802364,236
1447,198528515,38
1448,393059359,153
1449,158008558X,1718
1450,1401230326,263
1451,1416924426,88
1452,857293400,5
1453,393301990,64
1454,1859847927,380
1455,971759502,1771
1456,961602406,411
1457,520072553,284
1458,520231732,20
1459,674006747,65
1460,033398224X,7164
1461,333710932,33420
1462,670022667,3269
1463,738215112,756
1464,1569474095,189
1465,60505125,1072
1466,312365748,12700
1467,375503455,64
1468,804773319,4
1469,60749466,138
1470,1401928048,419
1471,751544493,17025
1472,1425956637,94
1473,373451695,108
1474,1931561095,97
1475,4575836737,441
1476,4091330991,107
1477,4575837806,442
1478,4575838365,457
1479,408870164X,1512
1480,1553651499,118
1481,373791186,37
1482,822334151,31
1483,60106883,25
1484,1848890605,26
1485,1433526360,659
1486,198540345,105
1487,804833818,37
1488,307272842,289
1489,1401231861,31
1490,1934429708,117
1491,609607820,1809
1492,1400082285,459
1493,373277199,68
1494,1591450055,876
1495,1591451663,321
1496,1591450071,377
1497,670022713,1325
1498,052524655X,98
1499,531207625,11
1500,531207668,12
1501,1885211066,163
1502,373790961,43
1503,037379150X,19
1504,373790082,43
1505,1584654732,7
1506,1451611846,1249
1507,840034350,196
1508,756671639,98
1509,9170018405,185
1510,226893278,99
1511,1883285461,172
1512,1556593333,634
1513,446356018,3654
1514,609609696,113
1515,316129518,4951
1516,3869710284,666
1517,955542383,25
1518,321662644,92
1519,345483154,844
1520,761161708,314
1521,345450299,1864
1522,1849700478,871
1523,582404282,56
1524,1555840183,127
1525,345450310,3995
1526,515127507,23
1527,375424148,37325
1528,1608991539,133
1529,1589808339,1
1530,1402728298,1256
1531,671742019,24
1532,1564782859,891
1533,781806526,41
1534,1400073987,1792
1535,312567251,5623
1536,789741032,85
1537,1588464296,31
1538,312316062,303
1539,521546931,32
1540,349118493,2139
1541,1588464792,62
1542,1588462633,49
1543,1589780132,232
1544,1164509489,25
1545,1591843820,3561
1546,521778220,182
1547,394739698,1155
1548,5373023876,315
1549,471359254,1315
1550,471443824,447
1551,1849511349,4
1552,1580085628,1564
1553,684813483,5190
